# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow random functions (i.e., random costs)
#   with RNG seeds [400..499].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
(MC)2MKP,4100,10,35.72394787918351
MarIn,4100,10,5193.725992193529
MarCo,4100,10,22109.159848605075
MarDec,4100,10,13145.066746248598
FedAvg,4100,10,25536.339137813127
(MC)2MKP,4200,10,46.73295757611214
MarIn,4200,10,8579.231346503848
MarCo,4200,10,21616.219045907488
MarDec,4200,10,13397.199254771
FedAvg,4200,10,17536.466660728875
(MC)2MKP,4300,10,45.458892361979615
MarIn,4300,10,8913.577262369308
MarCo,4300,10,21185.335514944036
MarDec,4300,10,12496.58317185652
FedAvg,4300,10,29421.551026003162
(MC)2MKP,4400,10,42.67237234636136
MarIn,4400,10,6414.456603807648
MarCo,4400,10,23812.695561139917
MarDec,4400,10,15217.633920122353
FedAvg,4400,10,27647.31139290197
(MC)2MKP,4500,10,40.87106717633658
MarIn,4500,10,5876.790422102937
MarCo,4500,10,18977.864598929267
MarDec,4500,10,14858.742660436186
FedAvg,4500,10,22862.633236929352
(MC)2MKP,4600,10,39.097513681111806
MarIn,4600,10,6670.927454725905
MarCo,4600,10,19419.922715175762
MarDec,4600,10,15348.967374993603
FedAvg,4600,10,26057.857187196947
(MC)2MKP,4700,10,32.18542987337639
MarIn,4700,10,6029.189797298737
MarCo,4700,10,21037.765433930515
MarDec,4700,10,14207.837701311426
FedAvg,4700,10,20720.99051082601
(MC)2MKP,4800,10,36.37145579158144
MarIn,4800,10,8615.43737181094
MarCo,4800,10,19876.737395775646
MarDec,4800,10,14515.954606486128
FedAvg,4800,10,32774.52904325699
(MC)2MKP,4900,10,38.208330679480035
MarIn,4900,10,6284.9216593318815
MarCo,4900,10,19446.655831756085
MarDec,4900,10,15436.474037279908
FedAvg,4900,10,23395.784435164765
(MC)2MKP,5000,10,37.117510018015565
MarIn,5000,10,3505.421684999826
MarCo,5000,10,21186.83285277323
MarDec,5000,10,16394.078217732396
FedAvg,5000,10,27894.690087303454
(MC)2MKP,1000,100,33668.1040478722
MarIn,1000,100,89639.06230975057
MarCo,1000,100,240048.22044852804
MarDec,1000,100,201337.8697333555
FedAvg,1000,100,266215.58832265367
(MC)2MKP,1100,100,28598.464829721775
MarIn,1100,100,81462.79035141623
MarCo,1100,100,240632.86141895497
MarDec,1100,100,205238.6783308295
FedAvg,1100,100,232018.80986879225
(MC)2MKP,1200,100,25082.284395840314
MarIn,1200,100,83349.74658874974
MarCo,1200,100,235571.52237256608
MarDec,1200,100,195940.25897045585
FedAvg,1200,100,266027.6299958374
(MC)2MKP,1300,100,21771.332710282717
MarIn,1300,100,85819.82123647218
MarCo,1300,100,230692.62485962518
MarDec,1300,100,194015.32324560103
FedAvg,1300,100,245237.20766251103
