# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow log n functions (i.e., decreasing marginal costs)
#   with RNG seeds [300..399].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
(MC)2MKP,4100,10,196.15658966151983
MarIn,4100,10,196.15658966151983
MarCo,4100,10,196.15658966151983
MarDec,4100,10,196.15658966151983
FedAvg,4100,10,465.2117733441897
(MC)2MKP,4200,10,196.22939406584183
MarIn,4200,10,196.22939406584183
MarCo,4200,10,196.22939406584183
MarDec,4200,10,196.22939406584183
FedAvg,4200,10,466.8527730515593
(MC)2MKP,4300,10,196.30046733968783
MarIn,4300,10,196.30046733968783
MarCo,4300,10,196.30046733968783
MarDec,4300,10,196.30046733968783
FedAvg,4300,10,468.45524805832173
(MC)2MKP,4400,10,196.36988989966528
MarIn,4400,10,196.36988989966528
MarCo,4400,10,196.36988989966528
MarDec,4400,10,196.36988989966528
FedAvg,4400,10,470.0209657905608
(MC)2MKP,4500,10,196.43773668592368
MarIn,4500,10,196.43773668592368
MarCo,4500,10,196.43773668592368
MarDec,4500,10,196.43773668592368
FedAvg,4500,10,471.5515747685654
(MC)2MKP,4600,10,196.504077648407
MarIn,4600,10,196.504077648407
MarCo,4600,10,196.504077648407
MarDec,4600,10,196.504077648407
FedAvg,4600,10,473.04861503935103
(MC)2MKP,4700,10,196.56897818030848
MarIn,4700,10,196.56897818030848
MarCo,4700,10,196.56897818030848
MarDec,4700,10,196.56897818030848
FedAvg,4700,10,474.5135274895396
(MC)2MKP,4800,10,196.63249950546097
MarIn,4800,10,196.63249950546097
MarCo,4800,10,196.63249950546097
MarDec,4800,10,196.63249950546097
FedAvg,4800,10,475.94766217976616
(MC)2MKP,4900,10,196.6946990254152
MarIn,4900,10,196.6946990254152
MarCo,4900,10,196.6946990254152
MarDec,4900,10,196.6946990254152
FedAvg,4900,10,477.35228582144583
(MC)2MKP,5000,10,196.75563063113748
MarIn,5000,10,196.75563063113748
MarCo,5000,10,196.75563063113748
MarDec,5000,10,196.75563063113748
FedAvg,5000,10,478.7285884996727
(MC)2MKP,1000,100,1465.9860316625259
MarIn,1000,100,1467.207093993081
MarCo,1000,100,1467.207093993081
MarDec,1000,100,1465.9860316625259
FedAvg,1000,100,1777.7447082287256
(MC)2MKP,1100,100,1466.181148756585
MarIn,1100,100,1467.4950180898784
MarCo,1100,100,1467.4950180898784
MarDec,1100,100,1466.181148756585
FedAvg,1100,100,1823.186734133962
(MC)2MKP,1200,100,1466.3463961244945
MarIn,1200,100,1467.7449730512383
MarCo,1200,100,1467.7449730512383
MarDec,1200,100,1466.3463961244945
FedAvg,1200,100,1864.9893457172684
(MC)2MKP,1300,100,1466.4897164881975
MarIn,1300,100,1467.966260195746
MarCo,1300,100,1467.966260195746
MarDec,1300,100,1466.4897164881975
FedAvg,1300,100,1903.692518875824
(MC)2MKP,1400,100,1466.6162530857184
MarIn,1400,100,1468.1650467567813
MarCo,1400,100,1468.1650467567813
MarDec,1400,100,1466.6162530857184
FedAvg,1400,100,1939.72431106043
(MC)2MKP,1500,100,1466.7295280247838
MarIn,1500,100,1468.3456529042226
MarCo,1500,100,1468.3456529042226
MarDec,1500,100,1466.7295280247838
FedAvg,1500,100,1973.4298016627529
(MC)2MKP,1600,100,1466.8320592646844
MarIn,1600,100,1468.511233786902
MarCo,1600,100,1468.511233786902
MarDec,1600,100,1466.8320592646844
FedAvg,1600,100,2005.0912433085505
(MC)2MKP,1700,100,1466.925709414487
MarIn,1700,100,1468.6641703557355
MarCo,1700,100,1468.6641703557355
MarDec,1700,100,1466.925709414487
FedAvg,1700,100,2034.9424445224643
(MC)2MKP,1800,100,1467.0118951120182
MarIn,1800,100,1468.8063073439666
MarCo,1800,100,1468.8063073439666
MarDec,1800,100,1467.0118951120182
FedAvg,1800,100,2063.179258541404
(MC)2MKP,1900,100,1467.0917189342865
MarIn,1900,100,1468.9391053997535
MarCo,1900,100,1468.9391053997535
MarDec,1900,100,1467.0917189342865
FedAvg,1900,100,2089.96737858922
(MC)2MKP,2000,100,1467.1660558772633
MarIn,2000,100,1469.063742288856
MarCo,2000,100,1469.063742288856
MarDec,2000,100,1467.1660558772633
FedAvg,2000,100,2115.448229264326
(MC)2MKP,2100,100,1467.2356119769258
MarIn,2100,100,1469.1811824891217
MarCo,2100,100,1469.1811824891217
MarDec,2100,100,1467.2356119769258
FedAvg,2100,100,2139.7434861460183
(MC)2MKP,2200,100,1467.3009651921086
MarIn,2200,100,1469.2922264122828
MarCo,2200,100,1469.2922264122828
MarDec,2200,100,1467.3009651921086
FedAvg,2200,100,2162.9585899193794
(MC)2MKP,2300,100,1467.362594624146
MarIn,2300,100,1469.3975460655286
MarCo,2300,100,1469.3975460655286
MarDec,2300,100,1467.362594624146
FedAvg,2300,100,2185.1855120512546
(MC)2MKP,2400,100,1467.4209018514828
MarIn,2400,100,1469.4977114337764
MarCo,2400,100,1469.4977114337764
MarDec,2400,100,1467.4209018514828
FedAvg,2400,100,2206.504955515688
(MC)2MKP,2500,100,1467.4762268023949
MarIn,2500,100,1469.5932103571743
MarCo,2500,100,1469.5932103571743
MarDec,2500,100,1467.4762268023949
FedAvg,2500,100,2226.9881236345623
(MC)2MKP,2600,100,1467.528859762365
MarIn,2600,100,1469.6844637512438
MarCo,2600,100,1469.6844637512438
MarDec,2600,100,1467.528859762365
FedAvg,2600,100,2246.698154910966
(MC)2MKP,2700,100,1467.5790505934012
MarIn,2700,100,1469.7718374293293
MarCo,2700,100,1469.7718374293293
MarDec,2700,100,1467.5790505934012
FedAvg,2700,100,2265.6912967931175
(MC)2MKP,2800,100,1467.6270159077915
MarIn,2800,100,1469.8556514045758
MarCo,2800,100,1469.8556514045758
MarDec,2800,100,1467.6270159077915
FedAvg,2800,100,2284.0178733751973
(MC)2MKP,2900,100,1467.6729447178698
MarIn,2900,100,1469.9361872939564
MarCo,2900,100,1469.9361872939564
MarDec,2900,100,1467.6729447178698
FedAvg,2900,100,2301.723088977723
(MC)2MKP,3000,100,1467.7170029345186
MarIn,3000,100,1470.0136942736642
MarCo,3000,100,1470.0136942736642
MarDec,3000,100,1467.7170029345186
FedAvg,3000,100,2318.847699915992
(MC)2MKP,3100,100,1467.759336984929
MarIn,3100,100,1470.0883939151793
MarCo,3100,100,1470.0883939151793
MarDec,3100,100,1467.759336984929
FedAvg,3100,100,2335.428579580046
(MC)2MKP,3200,100,1467.800076748774
MarIn,3200,100,1470.1604841467486
MarCo,3200,100,1470.1604841467486
MarDec,3200,100,1467.800076748774
FedAvg,3200,100,2351.4991965345203
(MC)2MKP,3300,100,1467.8393379613055
MarIn,3300,100,1470.2301425244875
MarCo,3300,100,1470.2301425244875
MarDec,3300,100,1467.8393379613055
FedAvg,3300,100,2367.090021225843
(MC)2MKP,3400,100,1467.8772241954568
MarIn,3400,100,1470.2975289533713
MarCo,3400,100,1470.2975289533713
MarDec,3400,100,1467.8772241954568
FedAvg,3400,100,2382.2288737195845
(MC)2MKP,3500,100,1467.9138285084675
MarIn,3500,100,1470.362787966082
MarCo,3500,100,1470.362787966082
MarDec,3500,100,1467.9138285084675
FedAvg,3500,100,2396.9412224397574
(MC)2MKP,3600,100,1467.9492348189422
MarIn,3600,100,1470.426050643626
MarCo,3600,100,1470.426050643626
MarDec,3600,100,1467.9492348189422
FedAvg,3600,100,2411.25044196839
(MC)2MKP,3700,100,1467.9835190656243
MarIn,3700,100,1470.4874362435555
MarCo,3700,100,1470.4874362435555
MarDec,3700,100,1467.9835190656243
FedAvg,3700,100,2425.178036458697
(MC)2MKP,3800,100,1468.0167501881344
MarIn,3800,100,1470.5470535878687
MarCo,3800,100,1470.5470535878687
MarDec,3800,100,1468.0167501881344
FedAvg,3800,100,2438.743834023064
(MC)2MKP,3900,100,1468.0489909615214
MarIn,3900,100,1470.6050022521174
MarCo,3900,100,1470.6050022521174
MarDec,3900,100,1468.0489909615214
FedAvg,3900,100,2451.966156506513
(MC)2MKP,4000,100,1468.0802987100194
MarIn,4000,100,1470.6613735890799
MarCo,4000,100,1470.6613735890799
MarDec,4000,100,1468.0802987100194
FedAvg,4000,100,2464.8619682936705
(MC)2MKP,4100,100,1468.110725920402
MarIn,4100,100,1470.7162516139815
MarCo,4100,100,1470.7162516139815
MarDec,4100,100,1468.110725920402
FedAvg,4100,100,2477.44700718162
(MC)2MKP,4200,100,1468.1403207714204
MarIn,4200,100,1470.7697137732232
MarCo,4200,100,1470.7697137732232
MarDec,4200,100,1468.1403207714204
FedAvg,4200,100,2489.73589985142
(MC)2MKP,4300,100,1468.169127592733
MarIn,4300,100,1470.8218316146165
MarCo,4300,100,1470.8218316146165
MarDec,4300,100,1468.169127592733
FedAvg,4300,100,2501.742264063312
(MC)2MKP,4400,100,1468.1971872643105
MarIn,4400,100,1470.8726713739384
MarCo,4400,100,1470.8726713739384
MarDec,4400,100,1468.1971872643105
FedAvg,4400,100,2513.4787993662244
(MC)2MKP,4500,100,1468.2245375653363
MarIn,4500,100,1470.9222944900837
MarCo,4500,100,1470.9222944900837
MarDec,4500,100,1468.2245375653363
FedAvg,4500,100,2524.9573678366714
(MC)2MKP,4600,100,1468.251213480088
MarIn,4600,100,1470.9707580590273
MarCo,4600,100,1470.9707580590273
MarDec,4600,100,1468.251213480088
FedAvg,4600,100,2536.1890661339057
(MC)2MKP,4700,100,1468.2772474670037
MarIn,4700,100,1471.0181152351508
MarCo,4700,100,1471.0181152351508
MarDec,4700,100,1468.2772474670037
FedAvg,4700,100,2547.184289968549
(MC)2MKP,4800,100,1468.3026696961308
MarIn,4800,100,1471.0644155871053
MarCo,4800,100,1471.0644155871053
MarDec,4800,100,1468.3026696961308
FedAvg,4800,100,2557.952791923481
(MC)2MKP,4900,100,1468.327508259312
MarIn,4900,100,1471.1097054142758
MarCo,4900,100,1471.1097054142758
MarDec,4900,100,1468.327508259312
FedAvg,4900,100,2568.5037334329813
(MC)2MKP,5000,100,1468.3517893567785
MarIn,5000,100,1471.1540280289853
MarCo,5000,100,1471.1540280289853
MarDec,5000,100,1468.3517893567785
FedAvg,5000,100,2578.845731614345
