# Description of the experiment:
#
# - We generate the costs to up to 5.000 tasks for 10 and 100 resources.
# - All costs follow linear functions (i.e., constant marginal costs)
#   with RNG seeds [100..199].
# - We schedule from 1.000 to 5.000 tasks in increments of 100.
# - We run (MC)^2MKP, MarIn, MarCo, MarDec, and FedAvg.
# - All resources have a lower limit of 5.
# - The first half of the resources have no upper limit.
# - The second half has an upper limit of 2*(tasks/resources).
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Total Cost
FedAvg,4000,10,20225.44170386024
(MC)2MKP,4100,10,9666.866522467188
MarIn,4100,10,9666.866522467188
MarCo,4100,10,9666.866522467188
MarDec,4100,10,9666.866522467188
FedAvg,4100,10,20730.076786836304
(MC)2MKP,4200,10,9898.49128394893
MarIn,4200,10,9898.49128394893
MarCo,4200,10,9898.49128394893
MarDec,4200,10,9898.49128394893
FedAvg,4200,10,21234.71186981236
(MC)2MKP,4300,10,10130.116045430672
MarIn,4300,10,10130.116045430672
MarCo,4300,10,10130.116045430672
MarDec,4300,10,10130.116045430672
FedAvg,4300,10,21739.34695278842
(MC)2MKP,4400,10,10361.740806912412
MarIn,4400,10,10361.740806912412
MarCo,4400,10,10361.740806912412
MarDec,4400,10,10361.740806912412
FedAvg,4400,10,22243.98203576448
(MC)2MKP,4500,10,10593.365568394154
MarIn,4500,10,10593.365568394154
MarCo,4500,10,10593.365568394154
MarDec,4500,10,10593.365568394154
FedAvg,4500,10,22748.617118740534
(MC)2MKP,4600,10,10824.990329875896
MarIn,4600,10,10824.990329875896
MarCo,4600,10,10824.990329875896
MarDec,4600,10,10824.990329875896
FedAvg,4600,10,23253.252201716594
(MC)2MKP,4700,10,11056.615091357637
MarIn,4700,10,11056.615091357637
MarCo,4700,10,11056.615091357637
MarDec,4700,10,11056.615091357637
FedAvg,4700,10,23757.88728469265
(MC)2MKP,4800,10,11288.23985283938
MarIn,4800,10,11288.23985283938
MarCo,4800,10,11288.23985283938
MarDec,4800,10,11288.23985283938
FedAvg,4800,10,24262.522367668706
(MC)2MKP,4900,10,11519.86461432112
MarIn,4900,10,11519.86461432112
MarCo,4900,10,11519.86461432112
MarDec,4900,10,11519.86461432112
FedAvg,4900,10,24767.157450644765
(MC)2MKP,5000,10,11751.489375802865
MarIn,5000,10,11751.489375802865
MarCo,5000,10,11751.489375802865
MarDec,5000,10,11751.489375802865
FedAvg,5000,10,25271.792533620825
(MC)2MKP,1000,100,3687.280507967055
MarIn,1000,100,3687.280507967055
MarCo,1000,100,3687.280507967055
MarDec,1000,100,3687.280507967055
FedAvg,1000,100,5776.56498918897
(MC)2MKP,1100,100,3789.107327594464
MarIn,1100,100,3789.107327594464
MarCo,1100,100,3789.107327594464
MarDec,1100,100,3789.107327594464
FedAvg,1100,100,6296.2487050607615
(MC)2MKP,1200,100,3890.934147221873
MarIn,1200,100,3890.934147221873
MarCo,1200,100,3890.934147221873
MarDec,1200,100,3890.934147221873
FedAvg,1200,100,6815.932420932553
(MC)2MKP,1300,100,3992.760966849282
MarIn,1300,100,3992.760966849282
MarCo,1300,100,3992.760966849282
MarDec,1300,100,3992.760966849282
FedAvg,1300,100,7335.616136804344
(MC)2MKP,1400,100,4094.587786476691
MarIn,1400,100,4094.587786476691
MarCo,1400,100,4094.587786476691
MarDec,1400,100,4094.587786476691
FedAvg,1400,100,7855.299852676136
(MC)2MKP,1500,100,4196.4146061041
MarIn,1500,100,4196.4146061041
MarCo,1500,100,4196.4146061041
MarDec,1500,100,4196.4146061041
FedAvg,1500,100,8374.983568547927
(MC)2MKP,1600,100,4298.241425731509
